number,value,datetime_start,datetime_complete,duration,params_conf,params_match_thresh,params_min-box-area,params_nms,params_track_buffer,params_track_thresh,state
37,0.5143981398676445,2025-01-27 14:17:02.093214,2025-01-27 14:19:22.872805,0 days 00:02:20.779591,0.6027799282081278,0.5365257479431782,10,0.2973914887375604,120,0.3939030499110672,COMPLETE
38,0.5143981398676445,2025-01-27 14:19:22.873503,2025-01-27 14:21:43.266489,0 days 00:02:20.392986,0.5272005585584576,0.6696600863151849,150,0.14894368428073407,600,0.46636929021714113,COMPLETE
39,0.5143981398676445,2025-01-27 14:21:43.267118,2025-01-27 14:24:06.354062,0 days 00:02:23.086944,0.32540633252016116,0.10014183682901467,100,0.5662806443621207,60,0.5266755725014817,COMPLETE
40,0.5143981398676445,2025-01-27 14:24:06.354788,2025-01-27 14:26:24.283048,0 days 00:02:17.928260,0.7174786309382183,0.8920495605357324,100,0.2727536838242674,300,0.8982176759815308,COMPLETE
41,0.5143981398676445,2025-01-27 14:26:24.283761,2025-01-27 14:28:44.043215,0 days 00:02:19.759454,0.8967095348007601,0.2533622426621266,10,0.33160099681298627,120,0.37102843650991457,COMPLETE
42,0.5143981398676445,2025-01-27 14:28:44.043948,2025-01-27 14:31:04.053931,0 days 00:02:20.009983,0.8523836393989842,0.3364381855100448,10,0.20733954990404369,120,0.591922361436968,COMPLETE
43,0.5143981398676445,2025-01-27 14:31:04.054632,2025-01-27 14:33:25.699166,0 days 00:02:21.644534,0.1345770557799965,0.29910880982163623,10,0.26298467321536334,120,0.6442967973385477,COMPLETE
44,0.5143981398676445,2025-01-27 14:33:25.699902,2025-01-27 14:35:43.745246,0 days 00:02:18.045344,0.45512142410052536,0.14596897046434196,10,0.14224253400147763,120,0.8575766975200884,COMPLETE
45,0.5143981398676445,2025-01-27 14:35:43.745959,2025-01-27 14:38:06.730400,0 days 00:02:22.984441,0.7547791607591008,0.17450410960616308,100,0.4178337288574596,300,0.4406216200051554,COMPLETE
46,0.5143981398676445,2025-01-27 14:38:06.731130,2025-01-27 14:40:28.658260,0 days 00:02:21.927130,0.5927351123640021,0.23590731959017064,150,0.18711074614320644,600,0.7306661508358822,COMPLETE
